word,transcript
ability,cô ấy có ability để giải quyết vấn đề này một cách nhanh chóng
academic,để thành công trong lĩnh vực này mình cần kiến thức academic vững chắc
airline,tôi đặt vé của airline này vì nó rẻ
amazing,ôi cái bánh này ngon amazing luôn á
anyway,thôi kệ đi anyway tôi cũng không muốn nói nữa
application,mình cần hoàn thành application này trước deadline
army,hôm nay tôi đi xem phim tài liệu về army
area,cái area này rộng quá không biết đi đâu bây giờ
award,bài hát mới của sơn tùng có thể sẽ giành được award năm nay đấy
basic,cái áo này basic quá mà giá hơi chát đó
bill,ăn xong nhớ chia bill nha mọi người
list,để tôi xem lại list đồ cần mua cho chuyến đi rồi mình đi nhé
lead,anh muốn lead team mình đạt target tháng này
leader,anh ấy là một leader giỏi và luôn biết cách motivate team
tradition,ở quê tôi việc cưới hỏi vẫn giữ tradition lâu đời
singer,con bé muốn trở thành singer nổi tiếng
message,tao gửi message cho mày rồi mà sao chưa thấy trả lời
middle,thôi được rồi mình sẽ đứng middle để dễ thấy mọi người
million,ước gì mình có một million đô để đi du lịch vòng quanh thế giới
meeting,hôm nay mình có một cái meeting quan trọng vào lúc hai giờ
mobile,tao quên mang mobile rồi làm sao giờ ta
marketing,chắc chắn chiến dịch marketing này sẽ giúp sản phẩm bán chạy hơn
manufacturer,cái máy này bị lỗi do manufacturer rồi
machine,cái machine này bị lỗi rồi chắc phải restart lại thôi
prompt,cái prompt này khó quá làm sao mà code được
recover,anh ấy cần thời gian để recover sau cú sốc đó
refuse,tôi đã nói không muốn đi rồi mà cứ refuse mãi
remain,sau cơn bão lớn mọi thứ remain nguyên vẹn thật kỳ diệu
repeat,anh nói lại đi em chưa nghe rõ repeat được không
route,để đi đến thành phố hồ chí minh bạn đi theo route nào vậy
separation,em cần thời gian để vượt qua separation này
series,mình thích series phim này lắm nội dung rất cuốn hút
zalo,tí nữa tao zalo cho mày cái ảnh
smell,hình như cái gì đó smell khét
grand,nhìn chung mọi thứ đều ổn nhưng để grand hơn thì cần thêm chi tiết
grade,em muốn cải thiện grade môn toán kỳ này
great,bài kiểm tra hôm nay great quá làm em bất ngờ luôn
handle,để tao handle vụ này cho mày nha
healthy,ăn nhiều rau xanh để body mình luôn healthy nha
himself,anh ấy tự mình làm hết mọi việc đó anh ấy is truly himself
hit,bài hát này đúng là một bản hit
homework,hôm nay mình phải làm xong hết homework mới được đi chơi
household,việc dọn dẹp household này tốn nhiều thời gian quá
idea,tao nghĩ idea này khá là interesting đó
identify,em cần identify rõ vấn đề trước khi giải quyết
important,việc này là important nên đừng lơ là nhé
inch,cái bàn này dài khoảng ba inch nhỉ
income,thu nhập của tôi không cao lắm income chỉ đủ sống thôi
interesting,bài này interesting quá chắc em phải học thêm thôi
internal,em muốn focus vào việc giải quyết các vấn đề internal của team mình trước
interview,tôi nervous quá sắp tới buổi interview xin việc rồi
island,anh muốn mua một căn nhà trên island nào ở việt nam
keyboard,tao gõ văn bản này bằng keyboard mới mua đó
kitchen,hôm nay mình sẽ nấu ăn ở kitchen mới của nhà
lab,hôm nay mình có bài kiểm tra khó ở lab nên phải học bài kỹ thôi
setting,cái setting của buổi tiệc này đỉnh quá bạn ơi
share,anh có thể share cái này cho em được không
shooting,mấy anh em mình đi đà lạt cuối tuần này để làm một bộ ảnh shooting đi
shower,hôm nay mệt quá về nhà tớ đi shower rồi ngủ thôi
sign,anh ta làm cái sign này nhìn chuyên nghiệp quá
signal,em không hiểu sao cái signal của anh cứ chập chờn hoài
simple,bài này simple mà sao bạn lại làm khó mình vậy
similar,hai bài văn của em khá là similar đó
significantly,việc thay đổi này sẽ ảnh hưởng significantly đến kế hoạch của chúng ta
situation,trong situation này mình cần suy nghĩ kỹ trước khi hành động
sleep,hôm nay em mệt quá chắc phải sleep sớm thôi
slide,em đang làm slide thuyết trình cho môn toán đây
